,dataElement,period,orgUnit,categoryOptionCombo,attributeOptionCombo,value,storedBy,created,lastUpdated,comment,followup
687,Weight for age on or above middle line (green),202201,Batkanu CHC,"Outreach, >1y",default,27,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
688,Weight for height 70-79 percent,202201,Batkanu CHC,"Fixed, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
689,Weight for height 70-79 percent,202201,Batkanu CHC,"Fixed, >1y",default,1,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
690,Weight for height 70-79 percent,202201,Batkanu CHC,"Outreach, <1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
691,Weight for height 70-79 percent,202201,Batkanu CHC,"Outreach, >1y",default,7,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
692,Weight for height 80 percent and above,202201,Batkanu CHC,"Fixed, <1y",default,32,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
693,Weight for height 80 percent and above,202201,Batkanu CHC,"Fixed, >1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
694,Weight for height 80 percent and above,202201,Batkanu CHC,"Outreach, <1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
695,Weight for height 80 percent and above,202201,Batkanu CHC,"Outreach, >1y",default,27,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
696,BCG doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,96,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
697,BCG doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
698,Fully Immunized child,202201,Blessed Mokaba clinic,"Fixed, <1y",default,50,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
699,Fully Immunized child,202201,Blessed Mokaba clinic,"Outreach, <1y",default,15,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
700,OPV0 doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,96,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
701,OPV0 doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
702,OPV1 doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,50,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
703,OPV1 doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
704,OPV2 doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
705,OPV2 doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
706,OPV3 doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,39,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
707,OPV3 doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
708,Penta1 doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,50,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
709,Penta1 doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
710,Penta2 doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
711,Penta2 doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,8,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
712,Penta3 doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,39,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
713,Penta3 doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
714,Yellow Fever doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,50,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
715,Yellow Fever doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,17,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
716,Measles doses given,202201,Blessed Mokaba clinic,"Fixed, <1y",default,50,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
717,Measles doses given,202201,Blessed Mokaba clinic,"Outreach, <1y",default,17,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
718,Newborn protected at birth against tetanus (TT2+),202201,Blessed Mokaba clinic,"Fixed, <1y",default,96,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
719,Q_Early breastfeeding (within 1 hr after delivery) at BCG,202201,Blessed Mokaba clinic,"Fixed, <1y",default,60,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
720,Q_Early breastfeeding (within 1 hr after delivery) at BCG,202201,Blessed Mokaba clinic,"Outreach, <1y",default,15,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
721,Q_Exclusive breastfeeding at time of Penta 3,202201,Blessed Mokaba clinic,"Fixed, <1y",default,31,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
722,Q_Exclusive breastfeeding at time of Penta 3,202201,Blessed Mokaba clinic,"Outreach, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
723,Q_Slept under LLIN last night Measles,202201,Blessed Mokaba clinic,"Fixed, <1y",default,45,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
724,Q_Slept under LLIN last night Measles,202201,Blessed Mokaba clinic,"Outreach, <1y",default,13,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
725,Q_Vitamin A received 4-6 months ago at 12-59 dose,202201,Blessed Mokaba clinic,"Fixed, >1y",default,12,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
726,Vitamin A given to < 5y,202201,Blessed Mokaba clinic,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
727,Vitamin A given to < 5y,202201,Blessed Mokaba clinic,"Fixed, >1y",default,14,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
728,Weight for age below lower line (red),202201,Blessed Mokaba clinic,"Fixed, <1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
729,Weight for age below lower line (red),202201,Blessed Mokaba clinic,"Outreach, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
730,Weight for age between middle and lower line (yellow),202201,Blessed Mokaba clinic,"Fixed, <1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
731,Weight for age between middle and lower line (yellow),202201,Blessed Mokaba clinic,"Fixed, >1y",default,58,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
732,Weight for age between middle and lower line (yellow),202201,Blessed Mokaba clinic,"Outreach, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
733,Weight for age on or above middle line (green),202201,Blessed Mokaba clinic,"Fixed, <1y",default,100,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
734,Weight for age on or above middle line (green),202201,Blessed Mokaba clinic,"Fixed, >1y",default,110,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
735,Weight for age on or above middle line (green),202201,Blessed Mokaba clinic,"Outreach, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
736,Weight for age on or above middle line (green),202201,Blessed Mokaba clinic,"Outreach, >1y",default,21,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
737,Weight for height 70-79 percent,202201,Blessed Mokaba clinic,"Fixed, <1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
738,Weight for height 70-79 percent,202201,Blessed Mokaba clinic,"Fixed, >1y",default,58,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
739,Weight for height 70-79 percent,202201,Blessed Mokaba clinic,"Outreach, <1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
740,Weight for height 70-79 percent,202201,Blessed Mokaba clinic,"Outreach, >1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
741,Weight for height 80 percent and above,202201,Blessed Mokaba clinic,"Fixed, <1y",default,100,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
742,Weight for height 80 percent and above,202201,Blessed Mokaba clinic,"Fixed, >1y",default,110,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
743,Weight for height 80 percent and above,202201,Blessed Mokaba clinic,"Outreach, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
744,Weight for height 80 percent and above,202201,Blessed Mokaba clinic,"Outreach, >1y",default,21,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
745,Weight for height below 70 percent,202201,Blessed Mokaba clinic,"Fixed, <1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-31T20:01:49.000+0000,,False
746,OPV3 doses given,202201,Baomahun CHC,"Fixed, <1y",default,23,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
747,OPV3 doses given,202201,Baomahun CHC,"Outreach, <1y",default,8,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
748,Weight for height 80 percent and above,202201,Baomahun CHC,"Fixed, >1y",default,139,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
749,Weight for age on or above middle line (green),202201,Baomahun CHC,"Fixed, <1y",default,86,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
750,Newborn protected at birth against tetanus (TT2+),202201,Baomahun CHC,"Fixed, <1y",default,39,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
751,Weight for age between middle and lower line (yellow),202201,Baomahun CHC,"Fixed, >1y",default,17,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
752,Weight for age between middle and lower line (yellow),202201,Baomahun CHC,"Fixed, <1y",default,36,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
753,Measles doses given,202201,Baomahun CHC,"Fixed, <1y",default,11,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
754,Q_Vitamin A received 4-6 months ago at 12-59 dose,202201,Baomahun CHC,"Outreach, >1y",default,7,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
755,Q_Vitamin A received 4-6 months ago at 12-59 dose,202201,Baomahun CHC,"Fixed, >1y",default,45,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
756,Vitamin A given to < 5y,202201,Baomahun CHC,"Outreach, >1y",default,11,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
757,Vitamin A given to < 5y,202201,Baomahun CHC,"Fixed, >1y",default,46,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
758,Vitamin A given to < 5y,202201,Baomahun CHC,"Fixed, <1y",default,13,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
759,Weight for height 70-79 percent,202201,Baomahun CHC,"Fixed, >1y",default,1,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
760,Weight for height 70-79 percent,202201,Baomahun CHC,"Fixed, <1y",default,2,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
761,Q_Exclusive breastfeeding at time of Penta 3,202201,Baomahun CHC,"Outreach, <1y",default,5,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
762,Penta3 doses given,202201,Baomahun CHC,"Outreach, <1y",default,9,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
763,Penta3 doses given,202201,Baomahun CHC,"Fixed, <1y",default,20,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
764,OPV0 doses given,202201,Baomahun CHC,"Outreach, <1y",default,4,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
765,OPV0 doses given,202201,Baomahun CHC,"Fixed, <1y",default,14,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
766,Yellow Fever doses given,202201,Baomahun CHC,"Fixed, <1y",default,11,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
767,OPV1 doses given,202201,Baomahun CHC,"Outreach, <1y",default,4,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
768,OPV1 doses given,202201,Baomahun CHC,"Fixed, <1y",default,27,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
769,Penta1 doses given,202201,Baomahun CHC,"Outreach, <1y",default,4,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
770,Penta1 doses given,202201,Baomahun CHC,"Fixed, <1y",default,25,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
771,Children supplied with food supplemements,202201,Baomahun CHC,"Fixed, >1y",default,6,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
772,Children supplied with food supplemements,202201,Baomahun CHC,"Fixed, <1y",default,3,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
773,BCG doses given,202201,Baomahun CHC,"Fixed, <1y",default,37,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
774,Fully Immunized child,202201,Baomahun CHC,"Fixed, <1y",default,11,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
775,Weight for age below lower line (red),202201,Baomahun CHC,"Fixed, >1y",default,1,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
776,Weight for age below lower line (red),202201,Baomahun CHC,"Fixed, <1y",default,4,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
777,Q_Slept under LLIN last night Measles,202201,Baomahun CHC,"Fixed, <1y",default,9,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
778,OPV2 doses given,202201,Baomahun CHC,"Outreach, <1y",default,6,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
779,Penta2 doses given,202201,Baomahun CHC,"Outreach, <1y",default,6,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
780,Q_Exclusive breastfeeding at time of Penta 3,202201,Baomahun CHC,"Fixed, <1y",default,18,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
781,OPV2 doses given,202201,Baomahun CHC,"Fixed, <1y",default,23,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
782,Q_Early breastfeeding (within 1 hr after delivery) at BCG,202201,Baomahun CHC,"Fixed, <1y",default,40,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
783,Penta2 doses given,202201,Baomahun CHC,"Fixed, <1y",default,23,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
784,Weight for height 80 percent and above,202201,Baomahun CHC,"Fixed, <1y",default,137,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
785,Weight for age on or above middle line (green),202201,Baomahun CHC,"Fixed, >1y",default,131,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
786,Vitamin A given to < 5y,202201,Baomahun CHC,"Outreach, <1y",default,5,bo2,2022-09-05T13:06:21.000+0000,2010-03-05T00:00:00.000+0000,,False
787,BCG doses given,202201,Calaba town CHC,"Fixed, <1y",default,109,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
788,Fully Immunized child,202201,Calaba town CHC,"Fixed, <1y",default,30,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
789,Fully Immunized child,202201,Calaba town CHC,"Outreach, <1y",default,6,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
790,Fully Immunized child,202201,Calaba town CHC,"Outreach, >1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
791,OPV0 doses given,202201,Calaba town CHC,"Fixed, <1y",default,109,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
792,OPV1 doses given,202201,Calaba town CHC,"Fixed, <1y",default,90,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
793,OPV1 doses given,202201,Calaba town CHC,"Outreach, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
794,OPV1 doses given,202201,Calaba town CHC,"Outreach, >1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
795,OPV2 doses given,202201,Calaba town CHC,"Fixed, <1y",default,82,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
796,OPV2 doses given,202201,Calaba town CHC,"Outreach, <1y",default,13,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
797,OPV2 doses given,202201,Calaba town CHC,"Outreach, >1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
798,OPV3 doses given,202201,Calaba town CHC,"Fixed, <1y",default,69,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
799,OPV3 doses given,202201,Calaba town CHC,"Outreach, <1y",default,35,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
800,OPV3 doses given,202201,Calaba town CHC,"Outreach, >1y",default,24,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
801,Penta1 doses given,202201,Calaba town CHC,"Fixed, <1y",default,90,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
802,Penta1 doses given,202201,Calaba town CHC,"Outreach, <1y",default,11,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
803,Penta1 doses given,202201,Calaba town CHC,"Outreach, >1y",default,2,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
804,Penta2 doses given,202201,Calaba town CHC,"Fixed, <1y",default,82,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
805,Penta2 doses given,202201,Calaba town CHC,"Outreach, <1y",default,13,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
806,Penta2 doses given,202201,Calaba town CHC,"Outreach, >1y",default,3,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
807,Penta3 doses given,202201,Calaba town CHC,"Fixed, <1y",default,69,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
808,Penta3 doses given,202201,Calaba town CHC,"Outreach, <1y",default,35,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
809,Penta3 doses given,202201,Calaba town CHC,"Outreach, >1y",default,24,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
810,Yellow Fever doses given,202201,Calaba town CHC,"Fixed, <1y",default,60,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
811,Yellow Fever doses given,202201,Calaba town CHC,"Outreach, <1y",default,24,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
812,Yellow Fever doses given,202201,Calaba town CHC,"Outreach, >1y",default,36,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
813,Measles doses given,202201,Calaba town CHC,"Fixed, <1y",default,60,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
814,Measles doses given,202201,Calaba town CHC,"Outreach, <1y",default,24,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
815,Measles doses given,202201,Calaba town CHC,"Outreach, >1y",default,36,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
816,Children getting therapeutic feeding,202201,Calaba town CHC,"Fixed, <1y",default,20,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
817,Children getting therapeutic feeding,202201,Calaba town CHC,"Fixed, >1y",default,65,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
818,Children supplied with food supplemements,202201,Calaba town CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
819,Children supplied with food supplemements,202201,Calaba town CHC,"Fixed, >1y",default,140,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
820,Newborn protected at birth against tetanus (TT2+),202201,Calaba town CHC,"Fixed, <1y",default,85,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
821,Q_Early breastfeeding (within 1 hr after delivery) at BCG,202201,Calaba town CHC,"Fixed, <1y",default,49,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
822,Q_Exclusive breastfeeding at time of Penta 3,202201,Calaba town CHC,"Fixed, <1y",default,27,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
823,Vitamin A given to < 5y,202201,Calaba town CHC,"Fixed, <1y",default,60,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
824,Weight for age below lower line (red),202201,Calaba town CHC,"Fixed, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
825,Weight for age below lower line (red),202201,Calaba town CHC,"Fixed, >1y",default,6,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
826,Weight for age between middle and lower line (yellow),202201,Calaba town CHC,"Fixed, <1y",default,46,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
827,Weight for age between middle and lower line (yellow),202201,Calaba town CHC,"Fixed, >1y",default,12,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
828,Weight for age on or above middle line (green),202201,Calaba town CHC,"Fixed, <1y",default,379,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
829,Weight for age on or above middle line (green),202201,Calaba town CHC,"Fixed, >1y",default,17,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
830,Weight for height 70-79 percent,202201,Calaba town CHC,"Fixed, <1y",default,46,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
831,Weight for height 70-79 percent,202201,Calaba town CHC,"Fixed, >1y",default,12,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
832,Weight for height 80 percent and above,202201,Calaba town CHC,"Fixed, <1y",default,379,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
833,Weight for height 80 percent and above,202201,Calaba town CHC,"Fixed, >1y",default,17,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
834,Weight for height below 70 percent,202201,Calaba town CHC,"Fixed, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
835,Weight for height below 70 percent,202201,Calaba town CHC,"Fixed, >1y",default,6,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
836,BCG doses given,202201,Bumbuna CHC,"Fixed, <1y",default,20,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
837,BCG doses given,202201,Bumbuna CHC,"Outreach, <1y",default,40,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
838,Fully Immunized child,202201,Bumbuna CHC,"Fixed, <1y",default,6,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
839,Fully Immunized child,202201,Bumbuna CHC,"Outreach, <1y",default,12,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
840,OPV0 doses given,202201,Bumbuna CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
841,OPV0 doses given,202201,Bumbuna CHC,"Outreach, <1y",default,15,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
842,OPV1 doses given,202201,Bumbuna CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
843,OPV1 doses given,202201,Bumbuna CHC,"Outreach, <1y",default,18,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
844,OPV2 doses given,202201,Bumbuna CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
845,OPV2 doses given,202201,Bumbuna CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
846,OPV3 doses given,202201,Bumbuna CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
847,OPV3 doses given,202201,Bumbuna CHC,"Outreach, <1y",default,9,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
848,Penta1 doses given,202201,Bumbuna CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
849,Penta1 doses given,202201,Bumbuna CHC,"Outreach, <1y",default,5,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
850,Penta2 doses given,202201,Bumbuna CHC,"Fixed, <1y",default,10,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
851,Penta2 doses given,202201,Bumbuna CHC,"Outreach, <1y",default,4,anaam,2022-09-05T13:06:21.000+0000,2022-05-29T22:06:10.000+0000,,False
